# H2 Combined Correction (pade beta=2 + Fock-weighted kinetic)
#             Config     R_eq      D_e        k   R_err%   D_err%   k_err%
      a0=0.2,L=-0.10    1.300   0.3696   1.1465      7.2    111.8    210.7
      a0=0.2,L=-0.05    1.335   0.3094   1.1481      4.7     77.3    211.1
      a0=0.2,L=+0.00    1.430   0.2406   0.5793      2.1     37.9     57.0
      a0=0.2,L=+0.05    1.498   0.1864   0.5890      6.9      6.8     59.6
      a0=0.2,L=+0.10    1.617   0.1292   0.2874     15.4     26.0     22.1
      a0=0.3,L=-0.10    1.379   0.2999   0.5939      1.6     71.9     60.9
      a0=0.3,L=-0.05    1.446   0.2437   0.6035      3.2     39.7     63.6
      a0=0.3,L=+0.00    1.511   0.1901   0.6132      7.8      8.9     66.2
      a0=0.3,L=+0.05    1.635   0.1335   0.3084     16.7     23.5     16.4
      a0=0.3,L=+0.10    1.808   0.0841   0.1213     29.0     51.8     67.1
      a0=0.4,L=-0.10    1.449   0.2517   0.6194      3.4     44.2     67.8
      a0=0.4,L=-0.05    1.512   0.1982   0.6290      7.9     13.6     70.5
      a0=0.4,L=+0.00    1.633   0.1415   0.3215     16.6     18.9     12.9
      a0=0.4,L=+0.05    1.791   0.0917   0.1282     27.9     47.5     65.2
      a0=0.4,L=+0.10    1.958   0.0491   0.0513     39.7     71.8     86.1
