# LIH Combined Correction (pade beta=2 + Fock-weighted kinetic)
#             Config     R_eq      D_e        k   R_err%   D_err%   k_err%
      a0=0.2,L=-0.10    2.921   0.2494  -0.4904      3.1    171.1    844.2
      a0=0.2,L=-0.05    2.952   0.1763  -0.2811      2.1     91.7    526.6
      a0=0.2,L=+0.00    2.276   0.1437  -0.1946     24.5     56.2    395.3
      a0=0.2,L=+0.05    4.194   0.1470   0.0175     39.1     59.7     73.5
      a0=0.2,L=+0.10    4.638   0.1379   0.0253     53.8     49.9     61.6
      a0=0.3,L=-0.10    2.755   0.2235  -0.4619      8.6    143.0    800.9
      a0=0.3,L=-0.05    2.633   0.1684  -0.2295     12.7     83.0    448.2
      a0=0.3,L=+0.00    3.896   0.1493   0.0136     29.2     62.2     79.3
      a0=0.3,L=+0.05    4.529   0.1383   0.0214     50.2     50.3     67.5
      a0=0.3,L=+0.10    4.825   0.1313   0.0292     60.0     42.7     55.7
      a0=0.4,L=-0.10    2.899   0.1795  -0.2718      3.8     95.1    512.5
      a0=0.4,L=-0.05    2.904   0.1348  -0.0575      3.7     46.6    187.2
      a0=0.4,L=+0.00    4.354   0.1394   0.0173     44.4     51.5     73.8
      a0=0.4,L=+0.05    4.753   0.1315   0.0251     57.6     42.9     61.9
      a0=0.4,L=+0.10    4.985   0.1200   0.0189     65.3     30.4     71.4
