# Coupled Electron-Nuclear LiH Validation
# nmax=3, molecule=LiH
# E_Li=-7.39208636, E_H=-0.50000000, E_sep=-7.89208636
# k_Morse=0.06589237 Ha/bohr^2
# Morse: r_e=3.015, a=0.598424, lam=28.7293, j=29.7942
#
# <R>_v table:
# v  <R>_v  E_nuc  r_inner  r_outer
  0    3.029584    0.00317588    2.730227    3.358478
  1    3.089313    0.00936908    2.552175    3.657304
  2    3.151257    0.01535086    2.442642    3.892409
  3    3.215586    0.02112123    2.360842    4.104999
  4    3.282490    0.02668019    2.295075    4.307251
  5    3.352185    0.03202773    2.240049    4.505007
  6    3.424914    0.03716386    2.192850    4.701821
  7    3.500952    0.04208858    2.151674    4.900242
  8    3.580616    0.04680188    2.115322    5.102353
  9    3.664269    0.05130377    2.082947    5.310056
 10    3.752331    0.05559424    2.053928    5.525245
 11    3.845292    0.05967330    2.027796    5.749955
 12    3.943731    0.06354094    2.004185    5.986504
 13    4.048333    0.06719717    1.982806    6.237667
 14    4.159922    0.07064199    1.963428    6.506920
 15    4.279498    0.07387540    1.945860    6.798803
 16    4.408294    0.07689738    1.929945    7.119523
 17    4.547850    0.07970796    1.915553    7.478013
 18    4.700130    0.08230712    1.902574    7.887968
 19    4.867687    0.08469487    1.890917    8.372225
 20    5.053933    0.08687120    1.880503    8.973701
 21    5.263563    0.08883612    1.871267    9.790180
 22    5.503301    0.09058963    1.863153   11.148416
 23    5.783265    0.09213172    0.000000         inf
 24    6.119714    0.09346240    0.000000         inf
 25    6.541316    0.09458166    0.000000         inf
 26    7.106184    0.09548951    0.000000         inf
 27    7.964141    0.09618595    0.000000         inf
 28    9.789491    0.09667097    0.000000         inf
 29         inf    0.09694458    0.000000         inf
#
# PES data:
# R  E(lam=0.0)  E(lam=0.02)  E(lam=0.05)  E(lam=0.1)
  1.5000   -8.47115474   -8.36393880   -8.20402867   -7.94062909
  2.0000   -8.28725994   -8.22760052   -8.13879313   -7.99291669
  2.5000   -8.17761163   -8.14410006   -8.09420640   -8.01214727
  2.8000   -8.13852396   -8.11431760   -8.07823850   -8.03100988
  3.0000   -8.11879561   -8.09903902   -8.07113673   -8.03958857
  3.0150   -8.11752137   -8.09805347   -8.07114223   -8.04007151
  3.0296   -8.11629672   -8.09710421   -8.07115635   -8.04054103
  3.0893   -8.11137561   -8.09325926   -8.07128692   -8.04245011
  3.1513   -8.10645695   -8.08937367   -8.07157527   -8.04444460
  3.2000   -8.10281548   -8.08751569   -8.07197328   -8.04609350
  3.2156   -8.10170164   -8.08744708   -8.07213543   -8.04663955
  3.2825   -8.09719547   -8.08734913   -8.07297795   -8.04904667
  3.3522   -8.09625292   -8.08726707   -8.07379480   -8.05135901
  3.4249   -8.09477988   -8.08636655   -8.07375216   -8.05274365
  3.5000   -8.09219962   -8.08432573   -8.07251967   -8.05285605
  3.5010   -8.09216345   -8.08429609   -8.07249982   -8.05285248
  3.5806   -8.08916840   -8.08182176   -8.07080580   -8.05245686
  3.6643   -8.08643646   -8.07958638   -8.06931459   -8.05220403
  3.7523   -8.08418732   -8.07781068   -8.06824845   -8.05231882
  4.0000   -8.07938978   -8.07412196   -8.06622171   -8.05305871
  5.0000   -8.04859521   -8.04591473   -8.04189417   -8.03519372
  6.0000   -8.02314019   -8.02176526   -8.01970320   -8.01626728
