# H2 Counterpoise-Corrected PES
# E_sep = -1.00000000 Ha
# R0_raw = 1.2429, R0_CP = 1.2429, R_eq(expt) = 1.4010 bohr
# D_e_raw = 0.390496, D_e_CP = 0.369761, D_e(expt) = 0.174500 Ha
# k_raw = 1.052798, k_CP = 1.052798, k(expt) = 0.369000 Ha/bohr^2
#
#        R          E_mol           E_CP           BSSE        D_e_raw         D_e_CP
    0.8000    -1.28129452    -1.26055954    -0.02073498     0.28129452     0.26055954
    1.0000    -1.37185339    -1.35111841    -0.02073498     0.37185339     0.35111841
    1.2000    -1.38805349    -1.36731851    -0.02073498     0.38805349     0.36731851
    1.4000    -1.36705903    -1.34632406    -0.02073498     0.36705903     0.34632406
    1.6000    -1.32882341    -1.30808843    -0.02073498     0.32882341     0.30808843
    1.8000    -1.28751981    -1.26678484    -0.02073498     0.28751981     0.26678484
    2.0000    -1.24706884    -1.22633386    -0.02073498     0.24706884     0.22633386
    2.5000    -1.15920320    -1.13846822    -0.02073498     0.15920320     0.13846822
    3.0000    -1.10084590    -1.08011092    -0.02073498     0.10084590     0.08011092
    4.0000    -1.04531222    -1.02457724    -0.02073498     0.04531222     0.02457724
