# H2 Energy Decomposition
#        R              T           V_nA           V_nB      V_cross_A      V_cross_B       V_bridge           V_ee           V_NN        E_total
    0.8000    -0.01445243    -0.49874468    -0.49874468    -0.79301825    -0.79301825    -0.00001400     0.06669777     1.25000000    -1.28129452
    1.0000    -0.01575768    -0.49850681    -0.49850681    -0.72692157    -0.72692157    -0.00002260     0.09478364     1.00000000    -1.37185339
    1.2000    -0.01727779    -0.49820368    -0.49820368    -0.66533444    -0.66533444    -0.00003318     0.12300038     0.83333333    -1.38805349
    1.4000    -0.01901073    -0.49782383    -0.49782383    -0.60814556    -0.60814556    -0.00004570     0.14965046     0.71428571    -1.36705903
    1.6000    -0.02095155    -0.49735506    -0.49735506    -0.55581233    -0.55581233    -0.00005993     0.17352286     0.62500000    -1.32882341
    1.8000    -0.02301861    -0.49680546    -0.49680546    -0.51012034    -0.51012034    -0.00007474     0.19386959     0.55555556    -1.28751981
    2.0000    -0.02518767    -0.49617297    -0.49617297    -0.46989637    -0.46989637    -0.00008914     0.21034665     0.50000000    -1.24706884
    2.5000    -0.03082051    -0.49426427    -0.49426427    -0.38735564    -0.38735564    -0.00011605     0.23497319     0.40000000    -1.15920320
    3.0000    -0.03592137    -0.49220576    -0.49220576    -0.32700485    -0.32700485    -0.00011692     0.24028028     0.33333333    -1.10084590
    4.0000    -0.04234154    -0.48917292    -0.48917292    -0.24744148    -0.24744148    -0.00006304     0.22032116     0.25000000    -1.04531222
