# H2+ Axial Lattice PES (N=161, padding=6.0, eps=0.01)
# R_eq=8.0000 E_min=-55.998131 D_e=55.498131
#        R       E_elec      E_total
     0.500   -19.356571   -17.356571
     0.600   -18.463343   -16.796676
     0.700   -12.194908   -10.766337
     0.800   -35.573476   -34.323476
     0.900   -11.087617    -9.976506
     1.000   -19.368711   -18.368711
     1.100   -12.562301   -11.653210
     1.200   -12.687936   -11.854602
     1.300   -16.876167   -16.106937
     1.400   -10.628748    -9.914462
     1.500   -23.689530   -23.022864
     1.600    -9.853924    -9.228924
     1.700   -29.500480   -28.912245
     1.800    -9.539402    -8.983846
     1.900   -31.107526   -30.581210
     2.000    -9.441133    -8.941133
     2.100   -27.886368   -27.410178
     2.200    -9.591469    -9.136923
     2.300   -21.000830   -20.566048
     2.400   -10.306940    -9.890273
     2.500   -14.566604   -14.166604
     2.600   -12.596003   -12.211388
     2.700   -10.719107   -10.348736
     2.800   -20.747887   -20.390745
     2.900    -8.985400    -8.640572
     3.000   -41.378600   -41.045266
     3.100    -8.939862    -8.617281
     3.200   -18.185572   -17.873072
     3.300   -12.004031   -11.701001
     3.400    -9.805436    -9.511318
     3.500   -33.454737   -33.169023
     3.600    -8.567397    -8.289619
     3.700   -19.379485   -19.109215
     3.800   -12.418907   -12.155749
     3.900    -9.058993    -8.802582
     4.000   -44.446107   -44.196107
     4.100    -9.047683    -8.803780
     4.200   -11.540202   -11.302107
     4.300   -25.815292   -25.582734
     4.400    -8.290611    -8.063338
     4.500   -15.783032   -15.560810
     4.600   -16.931636   -16.714244
     4.700    -8.151402    -7.938636
     4.800   -19.787916   -19.579582
     4.900   -14.663215   -14.459134
     5.000    -8.087225    -7.887225
     5.100   -20.110750   -19.914671
     5.200   -15.296917   -15.104609
     5.300    -7.968387    -7.779708
     5.400   -16.442878   -16.257693
     5.500   -19.760836   -19.579018
     5.600    -7.965215    -7.786644
     5.700   -12.018110   -11.842671
     5.800   -35.625177   -35.452763
     5.900    -8.556944    -8.387453
     6.000    -9.067080    -8.900413
     6.100   -44.502573   -44.338638
     6.200   -11.222696   -11.061406
     6.300    -7.762593    -7.603863
     6.400   -16.125928   -15.969678
     6.500   -25.714330   -25.560483
     6.600    -8.162808    -8.011293
     6.700    -8.820491    -8.671237
     6.800   -37.780013   -37.632954
     6.900   -13.443577   -13.298649
     7.000    -7.548408    -7.405551
     7.100   -10.650257   -10.509412
     7.200   -53.930081   -53.791192
     7.300   -10.702462   -10.565476
     7.400    -7.435358    -7.300223
     7.500   -11.890771   -11.757438
     7.600   -52.626864   -52.495285
     7.700   -10.250666   -10.120796
     7.800    -7.343204    -7.214999
     7.900   -11.297628   -11.171046
     8.000   -56.123131   -55.998131
