# H2+ Axial Lattice v2 (cylinder-averaged, N=321, L=12, rho0=1.0)
# R_eq=2.6131 E_min=-0.780335 D_e=0.280335
#        R      E_total
     0.500     0.536042
     0.600     0.211000
     0.700    -0.017544
     0.800    -0.185413
     0.900    -0.312563
     1.000    -0.411017
     1.100    -0.488469
     1.200    -0.550087
     1.300    -0.599480
     1.400    -0.639254
     1.500    -0.671342
     1.600    -0.697211
     1.700    -0.718000
     1.800    -0.734602
     1.900    -0.747736
     2.000    -0.757979
     2.100    -0.765805
     2.200    -0.771607
     2.300    -0.775708
     2.400    -0.778381
     2.500    -0.779856
     2.600    -0.780325
     2.700    -0.779955
     2.800    -0.778886
     2.900    -0.777237
     3.000    -0.775113
     3.100    -0.772601
     3.200    -0.769779
     3.300    -0.766712
     3.400    -0.763456
     3.500    -0.760061
     3.600    -0.756569
     3.700    -0.753017
     3.800    -0.749436
     3.900    -0.745853
     4.000    -0.742291
     4.100    -0.738770
     4.200    -0.735307
     4.300    -0.731916
     4.400    -0.728608
     4.500    -0.725393
     4.600    -0.722279
     4.700    -0.719273
     4.800    -0.716379
     4.900    -0.713600
     5.000    -0.710939
     5.100    -0.708396
     5.200    -0.705973
     5.300    -0.703668
     5.400    -0.701480
     5.500    -0.699408
     5.600    -0.697449
     5.700    -0.695601
     5.800    -0.693859
     5.900    -0.692221
     6.000    -0.690682
     6.100    -0.689239
     6.200    -0.687888
     6.300    -0.686625
     6.400    -0.685445
     6.500    -0.684343
     6.600    -0.683317
     6.700    -0.682362
     6.800    -0.681473
     6.900    -0.680647
     7.000    -0.679880
     7.100    -0.679168
     7.200    -0.678508
     7.300    -0.677896
     7.400    -0.677330
     7.500    -0.676805
     7.600    -0.676319
     7.700    -0.675870
     7.800    -0.675455
     7.900    -0.675070
     8.000    -0.674715
