# H2 Lambda Universality Data
# nmax=3, E_sep=-1.00000000
# k_Morse=0.36939296, k_bare=0.49295228
# R  E(lam=0.0)  E(lam=0.02)  E(lam=0.05)  E(lam=0.1)
  0.7005     -1.18619993     -1.15204810     -1.10082582     -1.01547109
  0.8406     -1.30781691     -1.27580521     -1.22779337     -1.14779003
  0.9807     -1.36860237     -1.33887713     -1.29429512     -1.22000848
  1.1208     -1.38708909     -1.35972570     -1.31868655     -1.25030497
  1.2609     -1.38198323     -1.35699331     -1.31951440     -1.25706659
  1.3309     -1.37467976     -1.35086401     -1.31514632     -1.25563376
  1.4010     -1.36692891     -1.34427101     -1.31029002     -1.25367176
  1.4711     -1.35456253     -1.33304195     -1.30076688     -1.24699161
  1.5411     -1.34023755     -1.31982914     -1.28922226     -1.23822704
  1.6812     -1.31360448     -1.29532996     -1.26792362     -1.22226178
  1.9614     -1.25459801     -1.24016552     -1.21852144     -1.18246102
  2.2416     -1.20079770     -1.18957792     -1.17275188     -1.14471854
  2.8020     -1.12077580     -1.11416599     -1.10425282     -1.08773513
