LiH nmax Convergence Validation — v0.9.37, 2026-03-11
=================================================================

Atomic Energies:
  E(Li, nmax=2) = -7.101226 Ha    E(Li, nmax=3) = -7.392086 Ha
  E(H,  nmax=2) = -0.500000 Ha    E(H,  nmax=3) = -0.500000 Ha

Quantity                            nmax=2      nmax=3        Expt
-----------------------------------------------------------------
D_e_CP at R=3.015 (Ha)              0.2888      0.1106      0.0920
D_e_CP at R_eq (Ha)                 0.6437      0.4642      0.0920
BSSE at R=3.015 (Ha)               -0.2184     -0.1149      0.0000
R_eq (bohr)                           1.50        1.50       3.015
Error in D_e_CP (%)                    214          20         ---

Convergence Checks:
  BSSE(nmax=2) > BSSE(nmax=3):  |-0.2184| > |-0.1149|  PASS
  R_eq(nmax=2) < R_eq(nmax=3):  1.50 < 1.50  FAIL
  D_e_CP(nmax=2) > D_e_CP(nmax=3):  0.6437 > 0.4642  PASS

*** PAPER CORRECTION REQUIRED: Section V.C states D_CP(nmax=2)=0.270 Ha but computed value is 0.289 Ha ***

nmax=3 Cross-Check:
  D_e_CP(nmax=3) = 0.1106 Ha (expected 0.093)  MISMATCH
  BSSE(nmax=3)   = -0.1149 Ha (expected -0.115)  PASS

=================================================================
nmax=2 PES Data
     R       E_mol     D_raw      D_cp      BSSE
---------------------------------------------
  1.50    -8.46329    0.8621    0.6437   -0.2184
  1.60    -8.41798    0.8168    0.5984   -0.2184
  1.70    -8.38157    0.7803    0.5620   -0.2184
  1.80    -8.34096    0.7397    0.5214   -0.2184
  1.90    -8.30719    0.7060    0.4876   -0.2184
  2.00    -8.27953    0.6783    0.4599   -0.2184
  2.10    -8.25076    0.6495    0.4312   -0.2184
  2.20    -8.22617    0.6249    0.4066   -0.2184
  2.30    -8.20615    0.6049    0.3866   -0.2184
  2.40    -8.18673    0.5855    0.3671   -0.2184
  2.50    -8.16898    0.5678    0.3494   -0.2184
  2.60    -8.15429    0.5531    0.3347   -0.2184
  2.70    -8.14132    0.5401    0.3217   -0.2184
  2.80    -8.12887    0.5276    0.3093   -0.2184
  2.90    -8.11787    0.5166    0.2983   -0.2184
  3.00    -8.10835    0.5071    0.2888   -0.2184
  3.10    -8.09965    0.4984    0.2801   -0.2184
  3.20    -8.09152    0.4903    0.2719   -0.2184
  3.30    -8.08435    0.4831    0.2648   -0.2184
  3.40    -8.07795    0.4767    0.2584   -0.2184
  3.50    -8.07178    0.4706    0.2522   -0.2184
  3.60    -8.06591    0.4647    0.2463   -0.2184
  3.70    -8.06059    0.4594    0.2410   -0.2184
  3.80    -8.05585    0.4546    0.2363   -0.2184
  3.90    -8.05151    0.4503    0.2319   -0.2184
  4.00    -8.04730    0.4461    0.2277   -0.2184
  4.10    -8.04306    0.4418    0.2235   -0.2184
  4.20    -8.03900    0.4378    0.2194   -0.2184
  4.30    -8.03524    0.4340    0.2157   -0.2184
  4.40    -8.03176    0.4305    0.2122   -0.2184
  4.50    -8.02852    0.4273    0.2089   -0.2184
  4.60    -8.02545    0.4242    0.2059   -0.2184
  4.70    -8.02233    0.4211    0.2027   -0.2184
  4.80    -8.01913    0.4179    0.1995   -0.2184
  4.90    -8.01602    0.4148    0.1964   -0.2184
  5.00    -8.01309    0.4119    0.1935   -0.2184

=================================================================
nmax=3 PES Data
     R       E_mol     D_raw      D_cp      BSSE
---------------------------------------------
  1.50    -8.47115    0.5791    0.4642   -0.1149
  1.80    -8.34864    0.4566    0.3417   -0.1149
  2.00    -8.28726    0.3952    0.2803   -0.1149
  2.20    -8.23412    0.3420    0.2272   -0.1149
  2.50    -8.17761    0.2855    0.1706   -0.1149
  2.80    -8.13852    0.2464    0.1316   -0.1149
  3.00    -8.11880    0.2267    0.1118   -0.1149
  3.02    -8.11752    0.2254    0.1106   -0.1149
  3.20    -8.10282    0.2107    0.0959   -0.1149
  3.50    -8.09220    0.2001    0.0852   -0.1149
  4.00    -8.07939    0.1873    0.0724   -0.1149
  4.50    -8.06378    0.1717    0.0568   -0.1149
  5.00    -8.04860    0.1565    0.0416   -0.1149
