# Overlap Edge PES Data: H2
# R_eq = 1.4010, E_sep = -1.00000000
# Date: 2026-03-12 12:06
#
# === baseline ===
# R_min=1.1467, k_fit=1.151880, D_e=0.388503
# R  E_total
  0.7005     -1.18619993
  0.8406     -1.30781691
  0.9807     -1.36860237
  1.1208     -1.38708909
  1.1908     -1.38875976
  1.2609     -1.38198323
  1.3309     -1.37467976
  1.4010     -1.36692891
  1.4711     -1.35456253
  1.5411     -1.34023755
  1.6812     -1.31360448
  1.9614     -1.25459801
  2.2416     -1.20079770
  2.8020     -1.12077580
  3.5025     -1.06532626
#
# === s2(1) ===
# R_min=1.1467, k_fit=1.151754, D_e=0.388512
# R  E_total
  0.7005     -1.18620200
  0.8406     -1.30782048
  0.9807     -1.36860790
  1.1208     -1.38709711
  1.1908     -1.38876917
  1.2609     -1.38199422
  1.3309     -1.37469241
  1.4010     -1.36694324
  1.4711     -1.35457874
  1.5411     -1.34025575
  1.6812     -1.31362667
  1.9614     -1.25462893
  2.2416     -1.20083725
  2.8020     -1.12082694
  3.5025     -1.06537309
#
# === s2(10) ===
# R_min=1.0499, k_fit=1.583398, D_e=0.778535
# R  E_total
  0.7005     -1.62808242
  0.8406     -1.73330498
  0.9807     -1.77479457
  1.1208     -1.77409875
  1.1908     -1.76578497
  1.2609     -1.75011132
  1.3309     -1.73357471
  1.4010     -1.71629857
  1.4711     -1.69543760
  1.5411     -1.67306431
  1.6812     -1.62952791
  1.9614     -1.53953346
  2.2416     -1.45501319
  2.8020     -1.31218876
  3.5025     -1.18383654
#
# === s2(50) ===
# R_min=1.5908, k_fit=-4.386059, D_e=4.410050
# R  E_total
  0.7005     -6.00131461
  0.8406     -5.95802859
  0.9807     -5.85723019
  1.1208     -5.72573713
  1.1908     -5.67957508
  1.2609     -5.66165856
  1.3309     -5.65095783
  1.4010     -5.63932018
  1.4711     -5.62538709
  1.5411     -5.60905063
  1.6812     -5.56997924
  1.9614     -5.47093941
  2.2416     -5.35144752
  2.8020     -5.07783763
  3.5025     -4.71256176
#
# === fock(1) ===
# R_min=1.1467, k_fit=1.152028, D_e=0.388488
# R  E_total
  0.7005     -1.18619683
  0.8406     -1.30781018
  0.9807     -1.36859194
  1.1208     -1.38707476
  1.1908     -1.38874348
  1.2609     -1.38196487
  1.3309     -1.37465939
  1.4010     -1.36690659
  1.4711     -1.35453816
  1.5411     -1.34021112
  1.6812     -1.31357429
  1.9614     -1.25456098
  2.2416     -1.20075590
  2.8020     -1.12073304
  3.5025     -1.06529459
#
# === fock(10) ===
# R_min=1.0051, k_fit=1.954813, D_e=0.710932
# R  E_total
  0.7005     -1.58235497
  0.8406     -1.67885407
  0.9807     -1.71083274
  1.1208     -1.69836855
  1.1908     -1.68402146
  1.2609     -1.66115385
  1.3309     -1.63763691
  1.4010     -1.61364924
  1.4711     -1.58523226
  1.5411     -1.55505839
  1.6812     -1.49739521
  1.9614     -1.38099493
  2.2416     -1.27749084
  2.8020     -1.12469415
  3.5025     -1.06583137
#
# === fock(50) ===
# R_min=1.9285, k_fit=-7.097541, D_e=2.686370
# R  E_total
  0.7005     -5.81834748
  0.8406     -5.64788978
  0.9807     -5.39400127
  1.1208     -5.08536718
  1.1908     -4.92163469
  1.2609     -4.74953535
  1.3309     -4.57788202
  1.4010     -4.40753881
  1.4711     -4.23502018
  1.5411     -4.06359751
  1.6812     -3.73397405
  1.9614     -3.12374143
  2.2416     -2.60174011
  2.8020     -1.83356679
  3.5025     -1.29675073
