# H2 4σ-Orbital CI on Prolate Spheroidal Lattice
# Date: 2026-03-13
# Orbitals: 1σ_g, 1σ_u, 2σ_g, 2σ_u  |  CI: 6×6 ¹Σ_g⁺
# N_xi_solve=5000, N_grid=50
# E(H) = -0.500000 Ha
#
#        R          E_6x6          E_2x2           E_HF        D_e_6x6        D_e_2x2
    0.8000    -0.88870469    -0.88869895    -0.88500449    -0.11129531    -0.11130105
    1.0000    -1.00194689    -1.00193657    -0.99580023     0.00194689     0.00193657
    1.2000    -1.05099039    -1.05097202    -1.04140002     0.05099039     0.05097202
    1.4000    -1.06904526    -1.06901487    -1.05508832     0.06904526     0.06901487
    1.6000    -1.07146128    -1.07141535    -1.05234374     0.07146128     0.07141535
    1.8000    -1.06597158    -1.06590805    -1.04101545     0.06597158     0.06590805
    2.0000    -1.05672229    -1.05664172    -1.02532227     0.05672229     0.05664172
    2.5000    -1.03003388    -1.02993492    -0.98007686     0.03003388     0.02993492
    3.0000    -1.00801742    -1.00795222    -0.93633167     0.00801742     0.00795222
    4.0000    -0.98577011    -0.98555982    -0.86503760    -0.01422989    -0.01444018
    5.0000    -0.98125919    -0.97998038    -0.81281904    -0.01874081    -0.02001962
#
# Spectroscopic constants:
#   6×6 CI: R_eq=1.7869 bohr, E_min=-0.981259 Ha, D_e=0.072136 Ha
#   2×2 CI: R_eq=1.7865 bohr, E_min=-0.979980 Ha, D_e=0.072075 Ha
#   Exact:  R_eq=1.4010 bohr, D_e=0.174500 Ha
