# H2 Minimal-Basis CI on Prolate Spheroidal Lattice
# Date: 2026-03-13
# Method: 1sigma_g + 1sigma_u CI, Gauss-Legendre quadrature N=80
# No free parameters
#
#        R           E_CI           E_HF         D_e_CI         D_e_HF         J_gg       V_gguu
    0.8000    -0.89526393    -0.89177516    -0.10473607    -0.10822484     0.958157     0.072266
    1.0000    -1.00830771    -1.00252230     0.00830771     0.00252230     0.890951     0.087836
    1.2000    -1.05704463    -1.04802560     0.05704463     0.04802560     0.832424     0.103490
    1.4000    -1.07471840    -1.06159722     0.07471840     0.06159722     0.781313     0.117718
    1.6000    -1.07670372    -1.05872977     0.07670372     0.05872977     0.736437     0.129893
    1.8000    -1.07075348    -1.04728047     0.07075348     0.04728047     0.696804     0.139976
    2.0000    -1.06102980    -1.03147322     0.06102980     0.03147322     0.661606     0.148243
    2.5000    -1.03318137    -0.98599478     0.03318137    -0.01400522     0.589055     0.163379
    3.0000    -1.01016597    -0.94212004     0.01016597    -0.05787996     0.533355     0.174257
    4.0000    -0.98638956    -0.87097883    -0.01361044    -0.12902117     0.457155     0.192388
    5.0000    -0.98024377    -0.81952026    -0.01975623    -0.18047974     0.413695     0.209757
