# H2+ Prolate Spheroidal Lattice PES (separated solver)
# N_xi=8000, xi_max=25.0
# R_eq=2.0231 E_min=-0.598459 D_e=0.098459
#        R       E_elec      E_total
     1.000    -1.448288    -0.448288
     1.100    -1.401864    -0.492773
     1.200    -1.358553    -0.525220
     1.300    -1.318120    -0.548889
     1.400    -1.280336    -0.566050
     1.500    -1.244987    -0.578321
     1.600    -1.211876    -0.586876
     1.700    -1.180819    -0.592584
     1.800    -1.151652    -0.596096
     1.900    -1.124225    -0.597909
     2.000    -1.098402    -0.598402
     2.100    -1.074061    -0.597870
     2.200    -1.051090    -0.596545
     2.300    -1.029390    -0.594608
     2.400    -1.008870    -0.592203
     2.500    -0.989446    -0.589446
     2.600    -0.971044    -0.586429
     2.700    -0.953596    -0.583226
     2.800    -0.937040    -0.579897
     2.900    -0.921319    -0.576491
     3.000    -0.906380    -0.573047
     3.100    -0.892177    -0.569596
     3.200    -0.878665    -0.566165
     3.300    -0.865804    -0.562774
     3.400    -0.853556    -0.559439
     3.500    -0.841888    -0.556174
     3.600    -0.830768    -0.552990
     3.700    -0.820165    -0.549894
     3.800    -0.810052    -0.546894
     3.900    -0.800403    -0.543993
     4.000    -0.791195    -0.541195
     4.100    -0.782404    -0.538502
     4.200    -0.774010    -0.535915
     4.300    -0.765993    -0.533435
     4.400    -0.758334    -0.531061
     4.500    -0.751015    -0.528792
     4.600    -0.744019    -0.526628
     4.700    -0.737331    -0.524565
     4.800    -0.730936    -0.522603
     4.900    -0.724819    -0.520737
     5.000    -0.718967    -0.518967
     5.100    -0.713367    -0.517288
     5.200    -0.708006    -0.515699
     5.300    -0.702874    -0.514195
     5.400    -0.697958    -0.512773
     5.500    -0.693248    -0.511430
     5.600    -0.688735    -0.510163
     5.700    -0.684407    -0.508968
     5.800    -0.680257    -0.507843
     5.900    -0.676274    -0.506783
     6.000    -0.672452    -0.505785
