================================================================================
LiH SO(4) CG Cross-Center V_ee Diagnostic (v0.9.27)
nmax=3, Z_A=3, Z_B=1, N_e=4
================================================================================

Atomic energies (nmax=3):
  E(Li) = -7.392086 Ha
  E(H)  = -0.500000 Ha
  E(Li+H) = -7.892086 Ha

================================================================================
Cross-center ERI table at R=3.015
J(A_{n_a l_a m_a}, B_{n_b l_b m_b}) = sum D^(n_b) * F0_Sturmian
================================================================================

Reference (no cross-center V_ee): p0*=3.1684, E=-5.019429 Ha

gamma(R=3.015, p0=3.1684) = 0.208603 rad (11.95 deg)

  A (n,l,m)     B (n,l,m)          J_cross        D_elem
  -------------------------------------------------------
  (1,0,+0)      (1,0,+0)          1.980260      1.000000
  (1,0,+0)      (2,0,+0)          0.425256      0.978321
  (1,0,+0)      (2,1,-1)          0.849986      0.989161
  (1,0,+0)      (2,1,+0)          0.769286      1.000000
  (1,0,+0)      (2,1,+1)          0.849986      0.989161
  (1,0,+0)      (3,0,+0)          0.160392      0.942816
  (1,0,+0)      (3,1,-1)          0.288608      0.946273
  (1,0,+0)      (3,1,+0)          0.234306      0.978321
  (1,0,+0)      (3,1,+1)          0.288608      0.946273
  (1,0,+0)      (3,2,-2)          0.418808      0.978439
  (1,0,+0)      (3,2,-1)          0.394633      0.989161
  (1,0,+0)      (3,2,+0)          0.406506      0.992852
  (1,0,+0)      (3,2,+1)          0.394633      0.989161
  (1,0,+0)      (3,2,+2)          0.418808      0.978439
  (2,0,+0)      (1,0,+0)          0.664976      1.000000
  (2,0,+0)      (2,0,+0)          0.315741      0.978321
  (2,0,+0)      (2,1,-1)          0.572272      0.989161
  (2,0,+0)      (2,1,+0)          0.513630      1.000000
  (2,0,+0)      (2,1,+1)          0.572272      0.989161
  (2,0,+0)      (3,0,+0)          0.140714      0.942816
  (2,0,+0)      (3,1,-1)          0.229447      0.946273
  (2,0,+0)      (3,1,+0)          0.182898      0.978321
  (2,0,+0)      (3,1,+1)          0.229447      0.946273
  (2,0,+0)      (3,2,-2)          0.382649      0.978439
  (2,0,+0)      (3,2,-1)          0.362827      0.989161
  (2,0,+0)      (3,2,+0)          0.372654      0.992852
  (2,0,+0)      (3,2,+1)          0.362827      0.989161
  (2,0,+0)      (3,2,+2)          0.382649      0.978439
  (2,1,-1)      (1,0,+0)          0.769286      1.000000
  (2,1,-1)      (2,0,+0)          0.333942      0.978321
  (2,1,-1)      (2,1,-1)          0.638251      0.989161
  (2,1,-1)      (2,1,+0)          0.575513      1.000000
  (2,1,-1)      (2,1,+1)          0.638251      0.989161
  (2,1,-1)      (3,0,+0)          0.143384      0.942816
  (2,1,-1)      (3,1,-1)          0.240307      0.946273
  (2,1,-1)      (3,1,+0)          0.192532      0.978321
  (2,1,-1)      (3,1,+1)          0.240307      0.946273
  (2,1,-1)      (3,2,-2)          0.393838      0.978439
  (2,1,-1)      (3,2,-1)          0.373184      0.989161
  (2,1,-1)      (3,2,+0)          0.383390      0.992852
  (2,1,-1)      (3,2,+1)          0.373184      0.989161
  (2,1,-1)      (3,2,+2)          0.393838      0.978439
  (2,1,+0)      (1,0,+0)          0.769286      1.000000
  (2,1,+0)      (2,0,+0)          0.333942      0.978321
  (2,1,+0)      (2,1,-1)          0.638251      0.989161
  (2,1,+0)      (2,1,+0)          0.575513      1.000000
  (2,1,+0)      (2,1,+1)          0.638251      0.989161
  (2,1,+0)      (3,0,+0)          0.143384      0.942816
  (2,1,+0)      (3,1,-1)          0.240307      0.946273
  (2,1,+0)      (3,1,+0)          0.192532      0.978321
  (2,1,+0)      (3,1,+1)          0.240307      0.946273
  (2,1,+0)      (3,2,-2)          0.393838      0.978439
  (2,1,+0)      (3,2,-1)          0.373184      0.989161
  (2,1,+0)      (3,2,+0)          0.383390      0.992852
  (2,1,+0)      (3,2,+1)          0.373184      0.989161
  (2,1,+0)      (3,2,+2)          0.393838      0.978439
  (2,1,+1)      (1,0,+0)          0.769286      1.000000
  (2,1,+1)      (2,0,+0)          0.333942      0.978321
  (2,1,+1)      (2,1,-1)          0.638251      0.989161
  (2,1,+1)      (2,1,+0)          0.575513      1.000000
  (2,1,+1)      (2,1,+1)          0.638251      0.989161
  (2,1,+1)      (3,0,+0)          0.143384      0.942816
  (2,1,+1)      (3,1,-1)          0.240307      0.946273
  (2,1,+1)      (3,1,+0)          0.192532      0.978321
  (2,1,+1)      (3,1,+1)          0.240307      0.946273
  (2,1,+1)      (3,2,-2)          0.393838      0.978439
  (2,1,+1)      (3,2,-1)          0.373184      0.989161
  (2,1,+1)      (3,2,+0)          0.383390      0.992852
  (2,1,+1)      (3,2,+1)          0.373184      0.989161
  (2,1,+1)      (3,2,+2)          0.393838      0.978439
  (3,0,+0)      (1,0,+0)          0.315217      1.000000
  (3,0,+0)      (2,0,+0)          0.180225      0.978321
  (3,0,+0)      (2,1,-1)          0.307946      0.989161
  (3,0,+0)      (2,1,+0)          0.274879      1.000000
  (3,0,+0)      (2,1,+1)          0.307946      0.989161
  (3,0,+0)      (3,0,+0)          0.112546      0.942816
  (3,0,+0)      (3,1,-1)          0.182380      0.946273
  (3,0,+0)      (3,1,+0)          0.145376      0.978321
  (3,0,+0)      (3,1,+1)          0.182380      0.946273
  (3,0,+0)      (3,2,-2)          0.274091      0.978439
  (3,0,+0)      (3,2,-1)          0.258613      0.989161
  (3,0,+0)      (3,2,+0)          0.266316      0.992852
  (3,0,+0)      (3,2,+1)          0.258613      0.989161
  (3,0,+0)      (3,2,+2)          0.274091      0.978439
